id|source|year|venue|title|decision
SD148|ScienceDirect|2023|Construction and Building Materials|Structural assessment of Basalt FRP reinforced self-compacting geopolymer concrete using ANN modelling|INCLUDE
SD149|ScienceDirect|2025|Environmental Research|Effective carbon footprint assessment strategy in fly ash geopolymer concrete based on adaptive boosting learning techniques|INCLUDE
SD150|ScienceDirect|2024|Journal of Cleaner Production|The use of machine learning techniques to investigate the properties of metakaolin-based geopolymer concrete|INCLUDE
SD151|ScienceDirect|2022|Results in Materials|Compressive strength analysis of fly ash-based geopolymer concrete using machine learning approaches|INCLUDE
SD152|ScienceDirect|2025|Construction and Building Materials|Multi-objective optimization of recycled fine aggregate geopolymer-based grouting materials using RSM and BPNN coupled approach|INCLUDE
SD153|ScienceDirect|2026|Phosphorus Sulfur and Silicon|Optimization and performance evaluation of PET-SiO2 polymer-modified geopolymer concrete employing integrated RSM-ANN approach|INCLUDE
SD154|ScienceDirect|2024|Engineering Applications of Artificial Intelligence|Machine-learning methods for estimating compressive strength of high-performance alkali-activated concrete|INCLUDE
SD155|ScienceDirect|2023|Journal of Environmental Chemical Engineering|Screening of modified kaolin catalysts in the catalytic pyrolysis of waste HDPE|EXCLUDE-EC2
SD156|ScienceDirect|2026|Engineering Applications of Artificial Intelligence|Multi-objective mix optimization of geopolymer recycled aggregate concrete using prior knowledge embedded neural network and evolutionary algorithm|INCLUDE
SD157|ScienceDirect|2024|Journal of Cleaner Production|Ensemble machine learning models for predicting the CO2 footprint of GGBFS-based geopolymer concrete|INCLUDE
SD158|ScienceDirect|2022|Construction and Building Materials|A review on material mix proportion and strength influence parameters of geopolymer concrete: Application of ANN model|CONTEXT-REVIEW
SD159|ScienceDirect|2025|Results in Engineering|Prediction of geopolymer concrete compressive strength using artificial neural network and genetic algorithm|INCLUDE
SD160|ScienceDirect|2025|Construction and Building Materials|NGBoost-based prediction of carbonation in Alkali-activated slag concrete enhanced by metaheuristic algorithms|INCLUDE
SD161|ScienceDirect|2024|Journal of Cleaner Production|Using acoustic emission to understand the early-age reaction and cracking evolution of alkali-activated slag-brick powder paste|INCLUDE-FT
SD162|ScienceDirect|2025|Journal of Building Engineering|Comparative evaluation of hybrid machine learning models for predicting the strength of metakaolin-based geopolymer concrete enhanced with Gaussian noise augmentation|INCLUDE
SD163|ScienceDirect|2025|Minerals Engineering|Exploring the potential of lithium tailings in construction materials|EXCLUDE-EC3
SD164|ScienceDirect|2023|Journal of Building Engineering|Physico-mechanical and microstructural properties of waste geopolymer powder and lime-added semi-lightweight geopolymer concrete: Efficient machine learning models|INCLUDE
SD165|ScienceDirect|2024|Journal of Building Engineering|A critical review on modeling and prediction on properties of fresh and hardened geopolymer composites|CONTEXT-REVIEW
SD166|ScienceDirect|2023|Materials Today: Proceedings|Conventional and Ensemble Machine Learning Models to Predict the Compressive Strength of Fly Ash Based Geopolymer Concrete|EXCLUDE-EC4
SD167|ScienceDirect|2024|Construction and Building Materials|Phase identification and micromechanical properties of non-traditional and natural pozzolan based alkali-activated materials|EXCLUDE-EC3
SD168|ScienceDirect|2023|Journal of Building Engineering|Prediction of compressive strength of geopolymer concrete using a hybrid ensemble of grey wolf optimized machine learning estimators|INCLUDE
SD169|ScienceDirect|2025|International Journal of Polymer Analysis and Characterization|Enhancing geopolymer concrete strength with sodium hydroxide using Gegenbauer graph neural networks approach|INCLUDE
SD170|ScienceDirect|2021|Construction and Building Materials|Utilization of mill tailings, fly ash and slag as mine paste backfill material: Review|CONTEXT-REVIEW
SD171|ScienceDirect|2021|Construction and Building Materials|Assessment of acid resistance of natural pozzolan-based alkali-activated concrete: Experimental and optimization modelling|INCLUDE
SD172|ScienceDirect|2024|Construction and Building Materials|Multi-objective optimization and prediction of strength along with durability in acid-resistant self-compacting alkali-activated concrete|INCLUDE
SD173|ScienceDirect|2022|Case Studies in Construction Materials|ANN based predictive mimicker for mechanical and rheological properties of eco-friendly geopolymer concrete|INCLUDE
SD174|ScienceDirect|2024|Case Studies in Construction Materials|Data-driven approaches for strength prediction of alkali-activated composites|INCLUDE
SD175|ScienceDirect|2024|Advances in Engineering Software|Modelling the compressive strength of geopolymer recycled aggregate concrete using ensemble machine learning|INCLUDE
SD176|ScienceDirect|2026|Environmental Research|Machine learning-based reactivity evaluation of solid wastes and development of a multi-component all-solid waste cementitious material|INCLUDE
SD177|ScienceDirect|2024|Materials Today: Proceedings|Utilizing ANFIS for strength characteristics forecasting in variable heat-cured geopolymer composites|EXCLUDE-EC4
SD178|ScienceDirect|2022|Construction and Building Materials|Analyzing the mechanical performance of fly ash-based geopolymer concrete with different machine learning techniques|INCLUDE
SD179|ScienceDirect|2022|Construction and Building Materials|Predicting compressive strength of alkali-activated systems based on the network topology and phase assemblages using tree-structure computing algorithms|INCLUDE
SD180|ScienceDirect|2023|Construction and Building Materials|Mechanical properties prediction of geopolymer concrete subjected to high temperature by BP neural network|INCLUDE
SD181|ScienceDirect|2026|Composites Part A|Ambient-Cured alkaline geopolymer concrete with industrial by-products and micro-binders: Mix optimization and TiPNN-Based strength prediction|INCLUDE
SD182|ScienceDirect|2024|Construction and Building Materials|On the use of machine learning and data-transformation methods to predict hydration kinetics and strength of alkali-activated mine tailings-based binders|INCLUDE
SD183|ScienceDirect|2023|Construction and Building Materials|Effect of composition and curing on alkali activated fly ash-slag binders: Machine learning prediction with a random forest-genetic algorithm hybrid model|INCLUDE
SD184|ScienceDirect|2023|Construction and Building Materials|Estimation of strength, rheological parameters, and impact of raw constituents of alkali-activated mortar using machine learning and SHAP|INCLUDE
